Model,Start Date,End Date,Average Sharpe Ratio,Average Return,Volatility,Final Portfolio Value
"best_model_layers_3_seq_60_hunits[32, 64, 148]_lr0.001_daydecay1_maxnorm3.pth",2017-01-03,2020-12-28,0.7890650897875773,0.0027036814314599,0.0247083850491291,1648530.7585610077
"best_model_layers_2_seq_180_hunits[32, 148]_lr0.001_daydecay5_maxnorm8.pth",2017-01-03,2020-12-28,0.7886088595134487,0.0027066370087308,0.0247497055132464,1648770.83767059
"best_model_layers_2_seq_60_hunits[256, 148]_lr0.0001_daydecay1_maxnorm8.pth",2017-01-03,2020-12-28,0.7885143224759649,0.0024992680752208,0.0228562473489216,1593407.7656542216
best_model_layers_1_seq_365_hunits[148]_lr0.001_daydecay10_maxnorm15.pth,2017-01-03,2020-12-28,0.7884738752390572,0.0025709677280557,0.0235131594391952,1612455.3847942755
"best_model_layers_3_seq_30_hunits[32, 64, 148]_lr0.0001_daydecay1_maxnorm1.pth",2017-01-03,2020-12-28,0.7881231024245456,0.0025722990985571,0.023535806188515,1612932.0951971274
best_model_layers_1_seq_365_hunits[148]_lr0.001_daydecay1_maxnorm15.pth,2017-01-03,2020-12-28,0.7878997453610677,0.0025339993751522,0.0231919472823745,1602662.6080918245
"best_model_layers_3_seq_365_hunits[32, 64, 148]_lr0.001_daydecay1_maxnorm8.pth",2017-01-03,2020-12-28,0.7878247416486313,0.002528907454999,0.0231475479706851,1601048.1662314686
"best_model_layers_3_seq_365_hunits[32, 64, 148]_lr0.0001_daydecay1_maxnorm15.pth",2017-01-03,2020-12-28,0.7872307679118614,0.0025451464217145,0.0233137633870608,1605536.741185798
"best_model_layers_2_seq_60_hunits[64, 148]_lr0.0001_daydecay1_maxnorm8.pth",2017-01-03,2020-12-28,0.7862797440063379,0.0025344495888915,0.0232438594978057,1602604.0951344937
"best_model_layers_2_seq_180_hunits[256, 148]_lr0.0001_daydecay1_maxnorm15.pth",2017-01-03,2020-12-28,0.7860613650713462,0.0025436462231108,0.0233346842666259,1604971.634205065
"best_model_layers_2_seq_30_hunits[32, 148]_lr0.001_daydecay10_maxnorm15.pth",2017-01-03,2020-12-28,0.7859962929168598,0.0026172344266248,0.0240117491905363,1624575.7612200575
best_model_layers_1_seq_180_hunits[148]_lr0.001_daydecay2_maxnorm3.pth,2017-01-03,2020-12-28,0.7853794633276922,0.0025307469137349,0.0232365071631271,1601212.916507064
"best_model_layers_2_seq_365_hunits[32, 148]_lr0.001_daydecay1_maxnorm1.pth",2017-01-03,2020-12-28,0.7852542879319727,0.0024536294713854,0.0225320307218396,1580759.2221810753
"best_model_layers_3_seq_60_hunits[32, 64, 148]_lr0.001_daydecay1_maxnorm15.pth",2017-01-03,2020-12-28,0.7847340358683146,0.0025472691002237,0.0234074449009954,1605318.6368298505
